name,rating,price,restaurant_type,description,address,google_maps_url
Le Coin des Amis Montmartre,4.6,€20–30,French restaurant,Traditional bistro fare like snails & steak frites in a charming corner space with a ceiling mural.,"50 Rue du Mont-Cenis, 75018 Paris, France","https://www.google.fr/maps/place/Le+Coin+des+Amis+Montmartre/@48.8901081,2.3219768,2140m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+18!3m6!1s0x47e66e5c38b82209:0x41f93a6f3359b3d8!8m2!3d48.890344!4d2.343502!15sChNyZXN0YXVyYW50IHBhcmlzIDE4WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTiSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tfcbh34?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Camone - Restaurant Vietnamien Paris 18,4.7,€10–30,Vietnamese restaurant,,"103 Rue Damrémont, 75018 Paris, France","https://www.google.fr/maps/place/Camone+-+Restaurant+Vietnamien+Paris+18/@48.8901081,2.3219768,2140m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+18!3m6!1s0x47e66fba8b83d093:0xf5aaa1351f78b722!8m2!3d48.895075!4d2.337288!15sChNyZXN0YXVyYW50IHBhcmlzIDE4WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTiSARV2aWV0bmFtZXNlX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11rd8gvbcm?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Seb'on,4.7,$$$,French restaurant,Elegantly plated seasonal cuisine in a rustic-chic restaurant with a window into the kitchen.,"62 Rue d'Orsel, 75018 Paris, France","https://www.google.fr/maps/place/Seb'on/@48.8901081,2.3219768,2140m/data=!3m2!1e3!5s0x47e66e446460a697:0x4089078d1f715c1e!4m10!1m2!2m1!1srestaurant+paris+18!3m6!1s0x47e66e447adfdc83:0x26d1e0855e0ac821!8m2!3d48.8836099!4d2.3402827!15sChNyZXN0YXVyYW50IHBhcmlzIDE4WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTiSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F11bbx0bzhp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Rendez-Vous de Montmartre,4.7,€10–20,Couscous restaurant,,"15 Rue la Vieuville, 75018 Paris, France","https://www.google.fr/maps/place/Au+Rendez-Vous+de+Montmartre/@48.8901081,2.3219768,2140m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+18!3m6!1s0x47e66e44918e4cb5:0xe7f8c0ca34f7d7cc!8m2!3d48.8847445!4d2.3401546!15sChNyZXN0YXVyYW50IHBhcmlzIDE4WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTiSARNjb3VzY291c19yZXN0YXVyYW504AEA!16s%2Fg%2F1tfkdx92?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Bastringue,4.4,€20–30,Bistro,Classic Parisian bistro food & drinks at a longstanding restaurant with canal-side tables.,"67 Quai de la Seine, 75019 Paris, France","https://www.google.fr/maps/place/Le+Bastringue/@48.8890001,2.241899,17119m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dd0e3eb82df:0x9067c10bed8a820b!8m2!3d48.887985!4d2.3769736!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQZiaXN0cm_gAQA!16s%2Fg%2F1hc2m_3b5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Comptoir Du Temps,4.6,€20–30,Restaurant,,"35 Av. Corentin Cariou, 75019 Paris, France","https://www.google.fr/maps/place/Au+Comptoir+Du+Temps/@48.8854178,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66c331bfa7a29:0x45ee2c882ac4c682!8m2!3d48.8974521!4d2.3851936!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11ckvlwgcr?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Paname Brewing Company,4.3,€20–30,Brewpub,International fare & beers served in an unfussy microbrewery that has a terrace & canal views.,"41 bis Quai de la Loire, 75019 Paris, France","https://www.google.fr/maps/place/Paname+Brewing+Company/@48.887832,2.3427407,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dda07746d9d:0x5790534da6bf1c4c!8m2!3d48.887832!4d2.3787896!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQdicmV3cHVi4AEA!16s%2Fg%2F11c3k2_99p?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les Bancs Publics,4.5,€20–30,Restaurant,"Classic brasserie dishes like steak frites in a light-filled, canal-side eatery with a terrace.","2 Rue de Nantes, 75019 Paris, France","https://www.google.fr/maps/place/Les+Bancs+Publics/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66dcdd4c54677:0x8072361a52baf187!8m2!3d48.8909879!4d2.3839873!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11b7hp0_xl?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Symphony | Restaurant Italien | Restaurant Villette | Restaurant Paris 19,4.6,€20–30,Italian restaurant,,"25 Sente des Dorées, 75019 Paris, France","https://www.google.fr/maps/place/Symphony+%7C+Restaurant+Italien+%7C+Restaurant+Villette+%7C+Restaurant+Paris+19/@48.8854068,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66ded25ae4851:0x970333b84b27f0ee!8m2!3d48.8883237!4d2.3931496!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSARJpdGFsaWFuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F11f6yf6z91?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
SARL Sofama,4.4,€20–30,Bistro,,"19 Rue Eugène Jumin, 75019 Paris, France","https://www.google.fr/maps/place/SARL+Sofama/@48.8854104,2.3649778,4280m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+19!3m6!1s0x47e66db7d6e18bad:0xdf73845bafaa0332!8m2!3d48.8875139!4d2.3922042!15sChNyZXN0YXVyYW50IHBhcmlzIDE5WhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTmSAQZiaXN0cm_gAQA!16s%2Fg%2F1tdlb09h?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
