name,rating,price,restaurant_type,description,address,google_maps_url
L'Aubergeade,4.8,€30–40,Restaurant,"Typical, cozy bistro focusing on traditional French dishes like steak tartare, plus seafood.","17 Rue Chaligny, 75012 Paris, France","https://www.google.fr/maps/place/L'Aubergeade/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720de79a84c1:0x7d91161ddaf778d9!8m2!3d48.8465653!4d2.3834896!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thtnxmh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La Cantine de daumesnil - restaurant paris 12,4.3,€20–30,Restaurant,,"119 Rue de Reuilly, 75012 Paris, France","https://www.google.fr/maps/place/La+Cantine+de+daumesnil+-+restaurant+paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726ea231f92d:0xfdaef9dd59e2628a!8m2!3d48.8412193!4d2.3942449!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1td2lt9t?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Picotin,4.5,€20–40,French restaurant,"Classic fare plated in a homey, relaxed setting with a charming wall mural & weekly live jazz.","35 Rue Sibuet, 75012 Paris, France","https://www.google.fr/maps/place/Le+Picotin/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672651e721cf3:0xf4ee10dd34e61164!8m2!3d48.8434703!4d2.4022776!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tj2b9vf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Alchimiste,4.7,€20–30,French restaurant,,"181 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/L'Alchimiste/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67212563d686f:0x3487581f9fbab0bd!8m2!3d48.8431827!4d2.3855205!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1v3gr6nf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Ty Louis - Restaurant Breton Paris 12,4.8,€20–40,Restaurant,,"240 Rue du Faubourg Saint-Antoine, 75012 Paris, France","https://www.google.fr/maps/place/Ty+Louis+-+Restaurant+Breton+Paris+12/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672734626fe0b:0xd972596d84418084!8m2!3d48.8492139!4d2.3895622!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1pp2vk8zw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Les affranchis,4.5,€20–30,Restaurant,"Old-fashioned brasserie with a terrace offering typical, seasonal fare & happy-hour specials.","14 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Les+affranchis/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e673a1c0b3134d:0x98fc5ab4222de86b!8m2!3d48.8483803!4d2.3725889!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11h3r10f1v?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Ébauchoir,4.7,$$,Bistro,Creatively interpreted French dishes & a long wine list at an unassuming bistro with street tables.,"43-45 Rue de Cîteaux, 75012 Paris, France","https://www.google.fr/maps/place/L'%C3%89bauchoir/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720ecfe1b5df:0xfc178888c45f61af!8m2!3d48.8498715!4d2.3811387!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1vnnhq59?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le 217 Brasserie Restaurant,4.7,€20–30,Restaurant,,"217 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Le+217+Brasserie+Restaurant/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672689e3e1c11:0xfcbc6045189b5ed8!8m2!3d48.8385093!4d2.3991269!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11g6bw84xp?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Touareg,4.6,€20–30,Algerian Restaurant,,"228 Rue de Charenton, 75012 Paris, France","https://www.google.fr/maps/place/Le+Touareg/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726b51005c6f:0xc4cef4d64ed882e!8m2!3d48.8397925!4d2.3883199!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARNhbGdlcmlhbl9yZXN0YXVyYW504AEA!16s%2Fg%2F1v6wnmxk?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Addy & Ida,4.6,€20–30,Restaurant,,"4 Rue Jaucourt, 75012 Paris, France","https://www.google.fr/maps/place/Chez+Addy+%26+Ida/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6735b12235d3b:0x98b38d01fdf9850a!8m2!3d48.8464843!4d2.3947077!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11gykqgtl6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
À la Biche au Bois,4.5,€40–50,French restaurant,"Typical French fare like terrine & braised chicken, turned out in a relaxed setup.","45 Av. Ledru Rollin, 75012 Paris, France","https://www.google.fr/maps/place/%C3%80+la+Biche+au+Bois/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720379e9ab89:0x27608256db06b821!8m2!3d48.848029!4d2.371106!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tjyn0l3?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
CHARLETPERRIN,4.4,€20–30,French restaurant,Classic French dishes like tartare & duck breast offered in a casual brasserie with sidewalk tables.,"17 Rue Michel Chasles, 75012 Paris, France","https://www.google.fr/maps/place/CHARLETPERRIN/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67204f73b757f:0x76e73ee40f33a63a!8m2!3d48.8477047!4d2.3736278!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1tdp4b_2?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cantine La Planque,4.4,€20–30,Bistro,,"6 Place Félix Eboué, 75012 Paris, France","https://www.google.fr/maps/place/Cantine+La+Planque/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67269254d0e47:0x8c446bd82d80eea!8m2!3d48.8391879!4d2.3956367!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQZiaXN0cm_gAQA!16s%2Fg%2F1tgkgl_5?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Berbère,4.6,€20–30,North African restaurant,,"62 Rue Crozatier, 75012 Paris, France","https://www.google.fr/maps/place/Le+Berb%C3%A8re/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6720f3b57eb2d:0x9493d764b25d7877!8m2!3d48.8495211!4d2.3797112!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARhub3J0aF9hZnJpY2FuX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1thxvjsw?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La cantine diderot,4.4,€10–20,Restaurant,,"74 Bd Diderot, 75012 Paris, France","https://www.google.fr/maps/place/La+cantine+diderot/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6731dc10870f3:0x7c448fa8c7712892!8m2!3d48.8466234!4d2.3821763!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F11hmzs8kq4?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Cotte Rôti,4.6,$$,French restaurant,"Creative classics, a tasting menu & fine wines at a modern venue with banquettes & a communal table.","1 Rue de Cotte, 75012 Paris, France","https://www.google.fr/maps/place/Le+Cotte+R%C3%B4ti/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e672059cc82f29:0x3d84a5c9c5c7150c!8m2!3d48.8481646!4d2.3766494!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARFmcmVuY2hfcmVzdGF1cmFudOABAA!16s%2Fg%2F1thl4r55?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Netter,4.3,€20–30,Restaurant,,"82 Cr de Vincennes, 75012 Paris, France","https://www.google.fr/maps/place/Le+Netter/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6727c8ed6aced:0x4a3f9f657d8ceee2!8m2!3d48.8470647!4d2.4064463!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSAQpyZXN0YXVyYW504AEA!16s%2Fg%2F1thcm2gr?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Tramway,4.2,€20–30,Brasserie,,"253 Av. Daumesnil, 75012 Paris, France","https://www.google.fr/maps/place/Au+Tramway/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e67266fe2b205b:0xe6196d809add965b!8m2!3d48.8374604!4d2.4020805!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARRyZXN0YXVyYW50X2JyYXNzZXJpZeABAA!16s%2Fg%2F1vfwc4tc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Com' à la maison,4.7,€10–30,Brasserie,,"51 Av. du Dr Arnold Netter, 75012 Paris, France","https://www.google.fr/maps/place/Com'+%C3%A0+la+maison/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+12!3m6!1s0x47e6726358f775ff:0x9115a9923442ea6!8m2!3d48.8441158!4d2.4053597!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARRyZXN0YXVyYW50X2JyYXNzZXJpZeABAA!16s%2Fg%2F1td1p5ry?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Janissaire,4.5,€20–40,Turkish restaurant,Elegantly plated Turkish cuisine served in a comfortable dining room & on an expansive terrace.,"22/24 All. Vivaldi, 75012 Paris, France","https://www.google.fr/maps/place/Le+Janissaire/@48.8756901,2.3169646,8562m/data=!3m1!1e3!4m11!1m3!2m2!1srestaurant+paris+12!6e5!3m6!1s0x47e6726c5d755ae3:0xd36d3970bc31867f!8m2!3d48.8415763!4d2.3915354!15sChNyZXN0YXVyYW50IHBhcmlzIDEyWhUiE3Jlc3RhdXJhbnQgcGFyaXMgMTKSARJ0dXJraXNoX3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1td5ffc8?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Vieux Comptoir,4.6,$$$,French restaurant,Seasonally changing menus of French classics sprinkled with global touches in a convivial bistro.,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris, France","https://www.google.fr/maps/place/Au+Vieux+Comptoir/@48.863133,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e1f0acb5181:0x8226746080cdda4d!8m2!3d48.8588127!4d2.346026!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1tlmmms9?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
L'Ardoise,4.4,$$,French restaurant,"Refined dishes with a focus on seasonality, plus set menu options, in a cozy bistro setting.","28 Rue du Mont Thabor, 75001 Paris, France","https://www.google.fr/maps/place/L'Ardoise/@48.8663663,2.3088906,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e2d8cb8421f:0xac76aad77cee909!8m2!3d48.8663663!4d2.326915!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11btmq53t6?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Restaurant de La Cordonnerie,4.7,$$,Restaurant,Traditional dishes in a charming operation with wood-beamed ceilings & an old-world feel.,"20 Rue Saint-Roch, 75001 Paris, France","https://www.google.fr/maps/place/Restaurant+de+La+Cordonnerie/@48.8654647,2.3144026,2141m/data=!3m2!1e3!5s0x47e66e2fc1aff6d5:0x488dca20708f714d!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e2fc0fc3fe9:0xe2690db08230f0cd!8m2!3d48.8654647!4d2.332427!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F1tn00jrh?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Bella Piazza,4.4,€10–20,Italian restaurant,"Wood-fired pizzas, pastas & desserts are dished up in this relaxed Italian place with a terrace.","8 Rue de la Petite Truanderie, 75001 Paris, France","https://www.google.fr/maps/place/Bella+Piazza/@48.8631302,2.3262864,2141m/data=!3m2!1e3!5s0x47e66e193dd35613:0x3d1f1d3bd0d70192!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e19197f04a1:0xd1e74190a3980ba4!8m2!3d48.8628155!4d2.3483155!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEml0YWxpYW5fcmVzdGF1cmFudOABAA!16s%2Fg%2F11clhpzdwf?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Comptoir des Petits Champs,4.5,$$,Bistro,"Elegant bistro with an old-world vibe, serving generously portioned contemporary French dishes.","17 Rue des Petits Champs, 75001 Paris, France","https://www.google.fr/maps/place/Le+Comptoir+des+Petits+Champs/@48.8631293,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e3b335993ed:0x8461ae332042b62e!8m2!3d48.8664315!4d2.3379197!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBBmJpc3Ryb-ABAA!16s%2Fg%2F1tfcsjnc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Tout-Paris,4.6,€100+,French restaurant,Gourmet fare & panoramic Seine views in the chic rooftop eatery of the Cheval Blanc Paris hotel.,"8 Quai du Louvre, 75001 Paris, France","https://www.google.fr/maps/place/Le+Tout-Paris/@48.8631284,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66f690b5482c5:0x6568bfb659691796!8m2!3d48.8587493!4d2.3422529!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11rwwhyh1l?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Restaurant Maison 28,4.4,,French restaurant,"Contemporary, upscale cuisine in a chic setting with cocktails & a terrace at Le Roch Hotel & Spa.","28 Rue Saint-Roch, 75001 Paris, France","https://www.google.fr/maps/place/Restaurant+Maison+28/@48.8661851,2.3149164,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e2fe133a8bb:0x61103fea2f66cfce!8m2!3d48.8661851!4d2.3329408!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11c1qsn2vy?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Petit Bouillon Pharamond,4.2,€10–20,Restaurant,Traditional French cuisine served in an old-world dining room with flowery walls & etched mirrors.,"24 Rue de la Grande Truanderie, 75001 Paris, France","https://www.google.fr/maps/place/Le+Petit+Bouillon+Pharamond/@48.8631266,2.3262864,2141m/data=!3m2!1e3!5s0x47e66e1912516133:0xce059ce53ab78ca0!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66fa99fa5c445:0x6140f858499cb594!8m2!3d48.8630418!4d2.3485455!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11b6_zt8cc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
La Régalade Saint-Honoré,4.5,$$$,French restaurant,"Artfully presented bistro-style dishes in a rustic, wood-beamed venue with exposed stone walls.","106 Rue Saint-Honoré, 75001 Paris, France","https://www.google.fr/maps/place/La+R%C3%A9galade+Saint-Honor%C3%A9/@48.8631256,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e23d4285ce9:0x99995464560b32fe!8m2!3d48.8616807!4d2.3420098!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11cjhzy523?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Camélia,4.3,€100+,French restaurant,"Cosmopolitan, expansive restaurant offering eco-conscious fine dining & garden tables.","251 Rue Saint-Honoré, 75001 Paris, France","https://www.google.fr/maps/place/Cam%C3%A9lia/@48.8669732,2.3090696,2141m/data=!3m2!1e3!5s0x47e66e320b33abd7:0xa9141a12bc7105d7!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e32754bf295:0x1c9fe94cea81b2b6!8m2!3d48.8669732!4d2.327094!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1tcxnzxc?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Café Joséphine,4.3,€30–40,Restaurant,,"3 Pl. des Deux Ecus, 75001 Paris, France","https://www.google.fr/maps/place/Caf%C3%A9+Jos%C3%A9phine/@48.8631238,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66f588db2dd75:0x1298f836f41b40e3!8m2!3d48.8628067!4d2.3413233!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11rsp_627_?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Granite,4.7,€100+,Haute French restaurant,,"6 Rue Bailleul, 75001 Paris, France","https://www.google.fr/maps/place/Granite/@48.8631229,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66f1a1fb579eb:0x265362fbe8c6f7b5!8m2!3d48.8610438!4d2.3419215!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBF2hhdXRlX2ZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F11ny2076x0?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Chez Claude,4.1,€20–30,French restaurant,French bistro classics served in a lively bistro with simple wooden decor & a sidewalk terrace.,"166 Rue Saint-Honoré, 75001 Paris, France","https://www.google.fr/maps/place/Chez+Claude/@48.863122,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66de91ea7d825:0x9e13174c964955c3!8m2!3d48.862291!4d2.339541!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1tdb3l6p?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Loup,4.2,€20–40,French restaurant,"Eclectic restaurant offering a carefully sourced traditional menu, organic wine & a heated patio.","44, rue du Louvre Angle, Rue Coquillière, 75001 Paris, France","https://www.google.fr/maps/place/Loup/@48.863121,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e22fc769a23:0x71969504a1fe3282!8m2!3d48.8639064!4d2.3425049!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1yhbjt2nv?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Le Petit Saint Honoré,4.1,$$,French restaurant,,"158 Rue Saint-Honoré, 75001 Paris, France","https://www.google.fr/maps/place/Le+Petit+Saint+Honor%C3%A9/@48.8631201,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e23f0401d8f:0x394d2b9d1818abe0!8m2!3d48.862105!4d2.339928!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1tj9b9k4?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Postiche Bistrot,4.6,$$,French restaurant,"Tartares, entrecôtes & fish dishes in a charming, intimate bistro with mirrors & timber accents.","62 Rue Jean-Jacques Rousseau, 75001 Paris, France","https://www.google.fr/maps/place/Postiche+Bistrot/@48.8631192,2.3262864,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e228e1c85b3:0x65064194be6b5842!8m2!3d48.864149!4d2.3437756!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F12hkjdnjl?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Au Bistro,4.4,€20–30,Bistro,"Set menus, classic bistro dishes & charcuterie at a cozy, compact venue with terrace tables.","8 Rue du Marché Saint-Honoré, 75001 Paris, France","https://www.google.fr/maps/place/Au+Bistro/@48.8660475,2.3132628,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e2fd2eff221:0x9b98fb71b635ccfc!8m2!3d48.8660475!4d2.3312872!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBBmJpc3Ryb-ABAA!16s%2Fg%2F1tgh6wk1?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Loup,4.2,€20–40,French restaurant,"Eclectic restaurant offering a carefully sourced traditional menu, organic wine & a heated patio.","44, rue du Louvre Angle, Rue Coquillière, 75001 Paris, France","https://www.google.fr/maps/place/Loup/@48.8639064,2.3244805,2141m/data=!3m1!1e3!4m10!1m2!2m1!1srestaurant+paris+1er!3m6!1s0x47e66e22fc769a23:0x71969504a1fe3282!8m2!3d48.8639064!4d2.3425049!15sChRyZXN0YXVyYW50IHBhcmlzIDFlcloWIhRyZXN0YXVyYW50IHBhcmlzIDFlcpIBEWZyZW5jaF9yZXN0YXVyYW504AEA!16s%2Fg%2F1yhbjt2nv?entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
