location_id,name,description,adress_string,price_level,rating,num_reviews,review_rating_count,cuisine
15298415,Zaytoon,,"2 rue Duchefdelaville, 75013 Paris France",€€ - €€€,5.0,95,"{'1': '1', '2': '1', '3': '2', '4': '12', '5': '79'}","Libanaise, Méditerranéenne, Barbecue/Grillades, Moyen-Orient"
17227776,Le Oken,,"19 rue Rambuteau, 75004 Paris France",€€ - €€€,4.0,130,"{'1': '14', '2': '14', '3': '11', '4': '39', '5': '52'}","Française, Café, Fruits de mer et poisson, Européenne, Diner"
9808228,Mombini,"Mombini est un café, qui propose des déjeuners et gâteaux 100% faits maison, du café de qualité, une large sélection de thés et jus bio. Avec l'espace de jeu adjacent et la boutique, Mombini est un lieu original et accueillant pour les parents et les enfants.","22 Rue Gerbert, 75015 Paris France",€€ - €€€,4.5,17,"{'1': '0', '2': '0', '3': '2', '4': '3', '5': '12'}","Internationale, Française"
10910749,Yuki,,"25 Rue Alain Chartier, 75015 Paris France",€€ - €€€,3.0,17,"{'1': '3', '2': '3', '3': '4', '4': '4', '5': '3'}","Japonaise, Pizza"
1332250,Le Janissaire,,"22 allee Vivaldi, 75012 Paris France",€€ - €€€,4.5,433,"{'1': '10', '2': '13', '3': '25', '4': '156', '5': '229'}","Méditerranéenne, Turque, Moyen-Orient"
19813267,Laïa,"C'est un restaurant caché situé à Paris 11. La spécialité du restaurant restaurant méditerranéen Laïa : la cuisson à la Robata qui sublime vos plats. Dernière le restaurant, au milieu du jardin, une superbe terrasse au calme, avec une partie sous véranda et le reste dans le jardin. A quelques centaines de mettre de la place de la Nation, pour une privatisation, pour un spritz entre amis, un diner dépaysant à Paris le restaurant italien, francais et espagnol Laïa recommandé par le Fooding vous séduira. En été, Laïa a probablement une des terrasses les plus dépaysantes de Paris.","226 Boulevard Voltaire, 75011 Paris France",€€ - €€€,4.5,247,"{'1': '6', '2': '11', '3': '9', '4': '22', '5': '199'}","Italienne, Française, Méditerranéenne, Barbecue/Grillades, Espagnole, Grecque, Saine, Italie du Sud"
7345689,McDonald's,"Trouvez facilement toutes les informations de McDonald’s : le restaurant le plus proche, les nouvelles, les informations sur les produits et toutes les dernières nouvelles.","65 Rue La Fayette, 75009 Paris France",€,3.0,51,"{'1': '11', '2': '5', '3': '10', '4': '18', '5': '7'}","Américaine, Restauration rapide"
27305886,Latino Pizza,,"55 Boulevard Lefebvre, 75015 Paris France",,,0,,Pizza
12255008,Hakata Choten,,"16 Rue de la Grande Truanderie Les Halles, 75001 Paris France",€€ - €€€,4.5,131,"{'1': '3', '2': '7', '3': '13', '4': '39', '5': '69'}","Japonaise, Asiatique"
23945075,Mano Paris,"Mano Paris, c'est un véritable voyage gustatif à travers les 21 pays de la méditerranée : jolies couleurs sur nos murs, saveurs dans les assiettes sans oublier une bonne dose de bonne humeur. Notre restaurant méditerranéen est le lieu idéal pour déguster des wraps toastés healthy, des salades et de délicieux mezzes en plein coeur de Paris 10. Vous passez prés du Grand Rex pour une balade ? Venez goûter notre cuisine méditerranéenne ! Nos plats ensoleillés embelliront votre journée. (Ouvert également pour le brunch le week-end !)","4, rue Jean Baptiste Clément Laboratoire de Fabrication, 94250 Paris France",,,0,,"Cuisine de rue (street food), Italienne, Méditerranéenne, Espagnole"
12318304,Chez Gustave,"Brasserie parisienne, cuisine faite maison, bar avec bière pression et carte de vins variétés, tabac et articles fumeurs,","61 Avenue De Suffren, 75007 Paris France",€€ - €€€,4.0,9,"{'1': '2', '2': '0', '3': '1', '4': '1', '5': '5'}",Française
15791673,Boulangerie Pâtisserie,,"55 avenue de Suffren, 75007 Paris France",,4.5,5,"{'1': '0', '2': '1', '3': '0', '4': '0', '5': '4'}","Française, Européenne"
3854219,L'Oasis,,"19 rue Ferdinand Fabre, 75015 Paris France",€,3.0,24,"{'1': '6', '2': '4', '3': '0', '4': '8', '5': '6'}","Marocaine, Méditerranéenne"
21078351,La Dolce Vita,,"45 Rue Héricart, 75015 Paris France",€€ - €€€,4.0,19,"{'1': '1', '2': '0', '3': '3', '4': '5', '5': '10'}","Italienne, Européenne, Bar à vins, Italie du Nord, Italie du Centre, Italie du Sud"
21328046,Crêpe Color's,,"4 Rue Thibaud, 75014 Paris France",€,,0,,
